R4 & DRAQ5+ & R3 & R2 & R1
Object Number	Diameter_Threshold(Morphology(M11, Ch11), Ch11, 80)
66036	6.69843809365666
66095	8.87915248788099
66133	10.3921686448819
66159	7.05854598902086
66160	7.09853807103481
66794	7.71025181267525
67016	5.71807578282888
67139	7.60861433055582
67233	8.05149737934131
67279	10.1300810514521
67283	8.57092304646152
67299	8.95059965886988
67363	11.4175712908915
67935	6.51635212451075
67998	9.29960542200334
68037	7.66422004716408
68058	8.48794991157138
68235	8.36194663046912
68267	7.49616556852334
68300	7.48671860123063
68695	7.24654296864798
69163	5.86471691205967
69292	6.64540132806442
69338	9.62127861165772
69347	10.6078527175924
69935	7.89169432687956
70889	8.12151171784886
71319	8.6367276443096
71484	7.2855031578656
71633	10.4261633992172
71753	6.40682580094037
71768	9.43559387137826
72321	10.3101239247276
72704	7.69187216361907
72813	8.90303191913571
72982	8.41257441875115
73215	9.10736463459121
73251	9.61392008009429
73405	7.56196389489061
73859	7.86474480824374
73929	8.51292676765464
74077	8.72639876384893
74145	6.65604248992916
74150	9.18474380450665
74433	8.62852951465541
74669	9.62127861165772
74764	10.0317965826246
74851	8.18228282938635
75234	10.4193733213891
76001	6.79286082919922
76310	7.24654296864798
76341	8.31952146263856
76451	8.26832392127276
76583	10.3921686448819
76596	6.98800914153724
76769	9.34515478230116
77256	9.97519925322511
77501	7.30490533112331
77628	10.5476373623581
77658	9.96810199209663
77687	6.45085948617728
77716	10.2066406369927
78133	6.42888034396343
78652	6.84475509630398
79454	8.29396219651364
79739	10.378539565385
79775	8.19956327699682
79990	11.6750046031715
80211	8.36194663046912
80257	9.18474380450665
80281	10.0458960928612
80384	9.81787442240415
80565	7.30490533112331
81187	9.48795190873696
81439	5.82840252629248
82764	7.52443530644134
82983	8.06028243092275
83156	7.73773942860369
83751	6.91675299871939
83853	6.50548247203185
84527	9.81787442240415
84529	7.78333640211435
84943	7.74688029349042
85369	6.93718658237601
85416	10.3306961911261
85687	8.40415763383363
86912	5.07550910153588
87338	7.05854598902086
87515	10.5073020812957
87745	7.2073721792102
89136	6.53803721647559
89864	8.87915248788099
90098	8.33651743839762
90986	7.42978455365971
91458	9.13064724088653
91762	9.67263158814893
91880	8.37040586038191
92682	5.60557805296257
92802	10.0599758420171
93159	8.60388825678096
93161	7.11844985789285
93478	8.14761198347482
93878	10.4532796046975
93907	8.47960794404096
94010	7.78333640211435
94204	8.42098279108372
94352	10.4329490578589
94659	6.67727393935178
94698	8.18228282938635
94943	8.37040586038191
94959	9.02148100943964
95735	11.3803197355073
95752	7.77423840204147
96049	8.05149737934131
96132	9.83947593239619
96827	8.90303191913571
97507	6.63474309934743
97924	9.23085996289812
97931	6.49459462762778
98313	11.8255783326494
98373	9.03715692223413
98977	7.37241084134546
99156	9.42058098379218
99178	7.52443530644134
99256	6.11288014027282
99544	11.2111561059251
99765	10.3580623216968
99822	7.99858444659601
99849	10.5073020812957
100493	10.6544516046133
100509	10.5744420748625
100864	9.87537344649376
101052	11.9565147459062
101481	6.46182102252186
101696	11.9624323482214
101932	8.83119991863115
102688	9.25383186062626
102939	9.4130655609894
103065	10.3375445155051
103109	11.147851499926
103541	6.62406772139568
103580	8.7829855460782
103683	10.081058594814
103710	6.98800914153724
103821	5.26710471450894
103822	10.0670083321049
103941	6.7719917757972
104249	8.5046092993593
104374	11.21746691763
104635	7.39158489412062
105468	9.16932021040923
105637	9.48795190873696
106696	7.69187216361907
106814	10.9879944779223
106821	7.93640683385204
106866	11.1160640057932
106975	10.7404560244048
107023	5.74277600917694
107380	6.47276399568279
107465	7.62719461299786
107564	6.22757832358312
107851	8.95059965886988
107926	7.19754617303364
107999	8.90303191913571
108022	7.81056681672877
108134	10.4938225349106
108338	11.1033235271016
108472	8.15629351175916
108498	9.09180977330688
108519	10.1440439540842
108589	8.55439280340581
108614	8.69389809687783
108811	9.81066334950882
109004	10.4261633992172
109022	7.75601038539611
109239	6.79286082919922
109586	8.73450503476907
109659	9.57704261361146
109751	10.2135721424687
110195	7.34355589367181
110273	8.10406484116164
110280	7.62719461299786
110294	9.96099967413606
110300	10.9944333852888
110418	9.36028864611399
110763	8.24260589965244
110951	9.48048989271141
110975	7.46778881467658
111130	8.35347883424097
111681	9.4130655609894
111752	9.60655591196648
112053	7.78333640211435
112238	8.36194663046912
112282	9.43559387137826
112563	6.86540297155116
112737	6.7719917757972
112802	8.6367276443096
113307	9.14613605141061
113431	9.91827896401016
113662	8.13892119488575
113744	8.83921007893425
113870	7.34355589367181
113905	6.41786254607383
113918	9.11513211117122
114108	7.98973155572987
114183	7.42025307500346
114464	9.26147649791564
114585	10.5610482226537
114748	7.93640683385204
114774	9.15387062873487
114812	7.46778881467658
114902	7.66422004716408
115355	11.052214747003
115396	12.3581834919827
115493	7.58998856374206
115544	5.75508636844663
115563	8.97428898038545
115599	8.72639876384893
115843	6.64540132806442
116163	10.3580623216968
116327	7.45830590442002
116396	11.9387443401292
116471	7.37241084134546
116500	10.4938225349106
116695	6.45085948617728
116813	5.65585330208129
